         8	    0.000002708
        16	    0.000002410
        32	    0.000002420
        64	    0.000002370
       128	    0.000002360
       256	    0.000002651
       512	    0.000002420
      1024	    0.000002489
      2048	    0.000004082
      4096	    0.000005109
      8192	    0.000005360
     16384	    0.000007222
     32768	    0.000012090
     65536	    0.000015759
    131072	    0.000018802
    262144	    0.000030291
    524288	    0.000052760
   1048576	    0.000096800
   2097152	    0.000186322
   4194304	    0.000357409
   8388608	    0.000708129
  16777216	    0.001397240
  33554432	    0.002886741
  67108864	    0.005823390
 134217728	    0.011673992
 268435456	    0.023321700
 536870912	    0.046695621
1073741824	    0.093378899
