         8	    0.000000741
        16	    0.000000792
        32	    0.000000861
        64	    0.000000899
       128	    0.000000889
       256	    0.000000911
       512	    0.000000949
      1024	    0.000001090
      2048	    0.000001340
      4096	    0.000001900
      8192	    0.000004530
     16384	    0.000004780
     32768	    0.000007432
     65536	    0.000012949
    131072	    0.000025082
    262144	    0.000049210
    524288	    0.000096490
   1048576	    0.000191269
   2097152	    0.000381169
   4194304	    0.000760140
   8388608	    0.001518309
  16777216	    0.003040371
  33554432	    0.006214371
  67108864	    0.012268710
 134217728	    0.023546240
 268435456	    0.047380662
 536870912	    0.094915040
1073741824	    0.189885809
