         8	    0.000002069
        16	    0.000001788
        32	    0.000001462
        64	    0.000001469
       128	    0.000001471
       256	    0.000001690
       512	    0.000001590
      1024	    0.000002060
      2048	    0.000002341
      4096	    0.000003171
      8192	    0.000005169
     16384	    0.000006230
     32768	    0.000007911
     65536	    0.000011790
    131072	    0.000017421
    262144	    0.000030529
    524288	    0.000057521
   1048576	    0.000109611
   2097152	    0.000217900
   4194304	    0.000444031
   8388608	    0.000925879
  16777216	    0.002063372
  33554432	    0.004222350
  67108864	    0.008551741
 134217728	    0.017398169
 268435456	    0.035055919
 536870912	    0.070372870
1073741824	    0.140616691
