         8	    0.000005939
        16	    0.000006051
        32	    0.000006862
        64	    0.000005882
       128	    0.000005879
       256	    0.000005980
       512	    0.000006101
      1024	    0.000006051
      2048	    0.000006180
      4096	    0.000006180
      8192	    0.000006552
     16384	    0.000007119
     32768	    0.000008152
     65536	    0.000010672
    131072	    0.000014710
    262144	    0.000023599
    524288	    0.000041261
   1048576	    0.000077000
   2097152	    0.000151331
   4194304	    0.000318868
   8388608	    0.000711529
  16777216	    0.001459720
  33554432	    0.002879591
  67108864	    0.005725760
 134217728	    0.011473041
 268435456	    0.023231311
 536870912	    0.046575310
1073741824	    0.093570459
